,sh1,p,C1,B1,Tem_1,DE1
2020-07-20,53.016186410416665,1.0159999999999998,1.9855347222222222,-0.7266631944444444,27.592267361111112,0.0
2020-07-21,54.82000285541667,10.583333333333334,1.962048611111111,-0.7352083333333334,27.57862152777778,4.06051
2020-07-22,60.43907764708334,5.672666666666666,1.943392361111111,-0.7288645833333334,26.01573263888889,0.0
2020-07-23,61.493857058749995,17.86466666666667,1.9211180555555556,-0.7374826388888889,24.803493055555553,0.0
2020-07-24,61.854628905,34.20533333333334,1.9341701388888888,-0.7225833333333332,23.21047916666667,0.0
2020-07-25,61.894825260416674,8.80533333333334,1.9630868055555555,-0.7334965277777777,24.143767361111113,0.0
2020-07-26,61.85540792916667,0.33866666666666745,1.9650729166666665,-0.7731041666666667,26.100715277777777,0.0
2020-07-27,61.81321801625,13.292666666666664,1.9819513888888889,-0.7708194444444444,26.352381944444446,0.0
2020-07-28,61.74455977624999,6.604000000000002,2.0041805555555556,-0.7688090277777778,27.80722916666667,0.0
2020-07-29,61.58709997291666,1.185333333333333,2.0132430555555554,-0.7749444444444444,28.33152777777778,0.0
2020-07-30,61.1809044325,0.0,1.9771145833333332,-0.7668680555555555,26.88554513888889,0.0
2020-07-31,58.84899167249999,0.0,1.999503472222222,-0.7756701388888888,28.191993055555557,0.0
2020-08-01,54.13660107833333,1.9473333333333345,1.999746527777778,-0.7631701388888888,27.24536458333333,16.24204
2020-08-02,53.207088158333335,0.0,2.0010625,-0.7851840277777778,27.902756944444445,16.611176
2020-08-03,52.8786166575,0.0,1.9853993055555554,-0.7799305555555556,27.188000000000002,1.845687
2020-08-04,52.60855734041667,0.5926666666666673,1.9905659722222222,-0.77771875,27.260392361111112,2.214824
2020-08-05,52.31967544291666,0.0,2.005611111111111,-0.7841284722222222,27.747805555555555,0.0
2020-08-06,52.129363665,0.0,2.0131875,-0.791204861111111,27.890322916666666,0.0
2020-08-07,51.79053626458333,0.0,2.011746527777778,-0.7890451388888889,27.690472222222223,0.0
2020-08-08,51.243592542500004,0.0,2.023809027777778,-0.79959375,28.992829861111108,0.0
2020-08-09,50.80062034708333,0.0,2.0217916666666667,-0.7959444444444445,28.608694444444442,0.0
2020-08-10,50.41555855875,0.0,2.03865625,-0.787954861111111,28.147201388888888,0.0
2020-08-11,50.215920383749996,0.0,2.045797762784091,-0.8315960911195286,31.89859563078703,37.651981
2020-08-12,52.697195969166664,0.0,2.018122376104798,-0.8310948811026936,31.38218214699074,0.0
2020-08-13,59.33925716083334,5.842,1.9831874999999999,-0.7756666666666666,26.592145833333333,0.0
2020-08-14,60.70576013374999,0.0,1.9905520833333332,-0.7735173611111111,26.20526736111111,0.0
2020-08-15,60.83827824958333,0.0,1.9786979166666665,-0.7950347222222223,27.462336805555555,0.0
2020-08-16,60.91793889041666,0.0,2.00140625,-0.7783159722222223,25.903288194444443,0.0
2020-08-17,61.02179760125,11.345333333333334,2.003246527777778,-0.7795555555555556,25.751454861111114,0.0
2020-08-18,60.941517294166665,1.1853333333333325,1.9715277777777775,-0.7998229166666667,26.442149305555557,0.0
2020-08-19,61.20096215166666,7.027333333333334,1.984,-0.7967916666666667,26.18448263888889,0.0
2020-08-20,62.210816443750005,17.18733333333333,1.9824131944444445,-0.7921180555555556,25.578833333333336,0.0
2020-08-21,62.79999999999999,0.5926666666666677,2.0028680555555556,-0.7932743055555554,26.26292361111111,0.0
2020-08-22,62.79999999999999,7.620000000000002,2.0185416666666667,-0.7689930555555556,24.672520833333333,0.0
2020-08-23,62.79999999999999,1.6086666666666682,2.018736111111111,-0.7721215277777778,24.98346875,0.0
2020-08-24,62.79999999999999,11.091333333333338,1.9743229166666667,-0.7890416666666668,24.506909722222222,0.0
2020-08-25,62.39352564208333,30.649333333333335,2.0155902777777777,-0.7979722222222222,24.843354166666668,0.0
2020-08-26,61.43257780916666,16.93333333333333,2.0583298611111114,-0.7844826388888889,24.43341666666667,13.28894
2020-08-27,61.733208915000006,0.0,2.0523784722222222,-0.7928263888888889,25.42685763888889,0.0
2020-08-28,62.45203964375,11.768666666666666,2.0570520833333332,-0.8144618055555556,27.019927083333332,0.0
2020-08-29,62.79999999999999,0.0,2.0304687500000003,-0.7876631944444444,24.578041666666667,0.0
2020-08-30,62.600817954583334,0.0,2.010173611111111,-0.8043020833333334,24.890694444444446,0.0
2020-08-31,61.63107039416666,7.112000000000001,2.016548611111111,-0.8063993055555555,25.514534722222223,0.0
2020-09-01,59.96788974374999,13.03866666666667,2.0167569444444444,-0.7983368055555555,24.86017013888889,0.0
2020-09-02,58.57389704791667,0.5926666666666659,2.0213715277777777,-0.8019305555555555,24.52478125,0.0
